	Title	Location	Company	Salary	Synopsis
0	DIRECTOR, ADVANCED ANALYTIC DELIVERY - DATA SCIENCE	Virginia Beach, VA	Sentara Healthcare	$47.85 - $66.00 an hour	Automates and hardens complex data processes to remove manual steps and improve efficiency.Analytic Data Engineering & Automation: partners with IT to build…
1	INTERDISCIPLINARY (GENERAL ENGINEER/OPS RESEARCH ANALYST/MAT...	Naval Base, VA	US Immediate Office of the Chief of Naval...	$55,188 - $123,717 a year	Help This job is open to The public U.S. Citizens, Nationals or those who owe allegiance to the U.S. Clarification from the agency U.S.…
2	Junior Data Scientist	Hampton, VA	BTAS	Estimated $80.5K - $102K a year	Apply data to develop and provide analytical support to all levels of management.Create, develop, and/or apply existing tools and techniques to conduct data…
3	Data Scientist	Norfolk, VA	Systems Planning and Analysis, Inc.	Estimated $86.7K - $110K a year	Experience with all steps of the data science lifecycle to include delivering data products to customers.Experience with data science and data science best…
4	Senior Data Analyst	Norfolk, VA	Cydecor, Inc.	Estimated $92.8K - $118K a year	Five years experience in data analysis for complex projects.Identify, develop, and implement formal processes for data/metric collection, analysis, and…
5	SGA Technical - Big Data & Artificial Intelligence	Virginia Beach, VA 23462 (Pembroke area)	PEMCCO	Estimated $84.4K - $107K a year	Build data ingest and data transformation infrastructure.This position help build our Big Data and AI development and production infrastructure and set our…
6	Senior Data Analyst	Norfolk, VA	Ironclad Technnology Services	Estimated $88.5K - $112K a year	Five years experience in data analysis for complex projects.Identify, develop, and implement formal processes for data/metric collection, analysis, and…
7	Lead Data Scientist	Norfolk, VA 23513 (Foxhall area)	Huntington Ingalls Industries	$93,341 - $145,000 a year	At least 3 years of experience as a data scientist.Experience querying data from SQL databases.Experience rapidly scaling data storage and processing.
8	Senior Machine Learning Operations Engineer	Remote in Virginia Beach, VA	Harnham	$160,000 - $180,000 a year	Manage all ML engineers, data scientists, and analysts in the Global ML department.Work closely with product teams to ensure the quality of all product data.
9	Kubernetes and Docker Cloud Developer	Remote in Norfolk, VA+1 location	Frontier Technology Inc.	Estimated $105K - $133K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
10	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
11	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
12	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
13	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
14	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
15	Marketing Data Science Manager	United States	Indeed	$145,000 - $210,000 a year	Participate and help hire, onboard, and coach marketing data scientists.Working knowledge of algorithms and data structures.
16	DIRECTOR, ADVANCED ANALYTIC DELIVERY - DATA SCIENCE	Virginia Beach, VA	Sentara Healthcare	$47.85 - $66.00 an hour	The Dir, Clinical Analytics is responsible for managing a portfolio of advanced analytic services within the Enterprise Analytics team. DIR, ADVANCED ANALYTIC…
