	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Washington, DC	US Federal Aviation Administration	$112,187 - $173,922 a year	Help This job is open to The public U.S. Citizens, Nationals or those who owe allegiance to the U.S. Individuals with disabilities Veterans Special…
1	Biologist/Ecologist (Data Scientist)	Washington, DC	US National Park Service	$74,950 - $97,430 a year	"Help This job is open to Career transition (CTAP, ICTAP, RPL) Federal employees who meet the definition of a ""surplus"" or ""displaced"" employee. The public U…"
2	Early career data scientist / analyst / statistical genetici...	Washington, DC	Data Tecnica	None	Are you an early career data scientist / analyst / statistical geneticist looking for work? Are you interested in working on the largest Parkinson’s disease…
3	Data Analyst (Scientist)	Washington, DC	Aurotech, Inc.	Estimated $105K - $133K a year	Overview: Aurotech is seeking an experienced Data Analyts (Scientist) to assist Federal client. Qualifications: REQUIRED EXPERIENCE: 1 year of experience…
4	Data Scientist	Temporarily Remote in Washington, DC	U.S. Mint	$106,823 - $138,868 a year	Duties As a Data Scientist, you will: Provide technical expertise to accomplish analysis and wrangling of data, develop methodological approaches. Conduct…
5	Data Scientist	Bethesda, MD 20817	Technical Resources International, Inc.	Estimated $88.6K - $112K a year	Responsibilities: Managing and sifting through health care and life sciences data sets to extract trends and find patterns Leveraging existing publicly…
6	Data Scientist	Remote in Washington, DC 20005+1 location	S&P Global	$68,300 - $155,900 a year	Segment: Market Intelligence The Role: Data Scientist III Location: Boston or Remote, EST Time Zone GL: 10 (for internal use only) At S&P Global Market…
7	Data Scientist - Development Program	Fort Meade, MD+1 location	National Security Agency	$86,389 - $116,788 a year	NSA Overview: The professionals at the National Security Agency (NSA) have one common goal: to protect our nation. The mission requires a strong offense and…
8	Data Scientist I	Washington, DC 20005 (Downtown area)	NCQA	Estimated $68K - $86K a year	The Data Scientist I will conduct data analyses that inform comparative health care quality insights and policy recommendations. As a Data Scientist I, you:…
9	Data Scientist (Clearance Required)	Hybrid remote in Washington, DC 20006	Arc Aspicio	Estimated $98.7K - $125K a year	Interested in working in an innovative, collaborative environment with motivated, social people? At Arc Aspicio, you can join a leading consulting firm that…
10	Data Scientist	Remote in McLean, VA	SYNTASA	Estimated $97.9K - $124K a year	Data Scientist Guide our customers in their adoption of AI and Machine Learning, helping them to realize whole potential of modern data science and data…
11	Data Scientist	Arlington, VA	Two Six Technologies	Estimated $90.6K - $115K a year	We’re looking for someone who is passionate about data science techniques, machine learning, and network analysis, to join our growing DS team. Our team build…
12	Data Scientist I	Vienna, VA 22180+1 location	Navy Federal Credit Union	$101,500 - $156,100 a year	YOUR LIFE'S MISSION: POSSIBLE You have goals, dreams, hobbies and things you’re passionate about. What’s Important to You Is Important to Us We’re looking…
13	Data Scientist (ALL LEVELS)	Remote in Reston, VA 20191+2 locations	Noblis	Estimated $114K - $144K a year	Responsibilities: Noblis is seeking to hire Data Scientists (All Levels) with an active Top Secret/SCI with Polygraph in Reston, VA As a Data Scientist with…
14	Data Scientist	Arlington, VA	Sealing Technologies, Inc.	Estimated $107K - $136K a year	Data Scientist – Supporting DoD customer onsite : Basic Position Description: : Sealing Technologies is seeking a Data Scientist to analyze the data of a DoD…
15	Senior Data Scientist	Washington, DC	MissionWired	$85,000 - $135,000 a year	Experience managing data warehouses and/or data lakes;Ability to build and optimize data pipelines, architectures, and data sets;
16	Data Scientist	Arlington, VA 22209 (North Rosslyn area)	Redhorse Corporation	Estimated $86.4K - $109K a year	Delivery Teams are primarily responsible for data analysis/data science work supporting the following functions:Sustain existing WUC predictive failure models.
17	Data Scientist, Client Services	Remote in Washington, DC 20005	Morning Consult	None	This could include developing R packages to clean data, evaluate/interpret results, streamline data collection, or present data in new ways.
18	Lead Data Scientist	Arlington, VA 22209 (North Rosslyn area)	Redhorse Corporation	Estimated $131K - $167K a year	Manage a Data Science delivery team of one data scientist and two data analysts performing work on the government-provided PANDA platform.
19	Principal Data Scientist	Dulles, VA 20166	Global Wireless Solutions, Inc.	$140,000 - $150,000 a year	Strong trend analysis, data weighting/extrapolation, bias reduction, data aggregation techniques, and automation skills are required.
20	Data Scientist (College)	Washington, DC	Customer Value Partners, Inc	Estimated $77.1K - $97.7K a year	Collaborate with the project team to perform data analysis and build systems using data for descriptive or predictive analytics.SQL and the use of databases.
21	Senior Data Scientist	Remote in Arlington, VA	Interos, Inc.	$120,000 - $160,000 a year	Strong understanding of data science fundamentals and data analysis techniques.Analyzing large open source and proprietary data sets to identify actionable…
22	Data Scientist	Bethesda, MD 20810	GAP Solutions, Inc.	Estimated $83.1K - $105K a year	Assist with technical data science consultations across a broad range of ODSET and NIAID activities; has technical expertise in subareas of data science.
23	Data Scientist (Temporary)	Washington, DC 20005 (Downtown area)	Municipal Securities Rulemaking Board	Estimated $76K - $96.2K a year	Transform data trends into presentation charts and graphs (data visualization).Assists with data mining and data analysis in relation to minority…
24	Senior Data Scientist	McLean, VA 22102	Piper Companies	Estimated $128K - $162K a year	Autonomous end-to-end statistical model creation, Including but not limited to identifying objectives, compiling data, sampling/prepping data, feature selection…
25	Data Scientist (Junior)	Springfield, VA+1 location	Allen Integrated Solutions	Estimated $71.8K - $91K a year	Demonstrated experience developing descriptive, predictive, or prescriptive analytics to sense-make structured and unstructured data.
26	Data Scientist (Remote)	Remote in Reston, VA 20190	Improvix Technologies	Estimated $107K - $135K a year	Strong data visualization skills (Tableau preferred).Minimum of 3 years (5-7 years preferred) performing exploratory data analysis to understand the…
27	Business Intelligence Data Analyst	Remote in Arlington, VA	Interos, Inc.	$72,000 - $96,000 a year	Perform hands-on work with data analysis, data visualization, data validation and quality assurance.Rigorously and creatively mine and analyze data; ensure…
28	Data Scientist	McLean, VA	Avantus Federal	Estimated $115K - $146K a year	The data scientist will use a diverse range of data-focused skills and experience, both technical and analytical.
29	Data Scientist (Remote)	Remote in Washington, DC	Kitcheck	Estimated $126K - $159K a year	Prior professional experience as a data scientist.Demonstrable history of contributing on data pipelines, predictive models and data-centered projects.
30	Data Scientist	Fort Meade, MD 20755+5 locations	Varen Technologies	Estimated $102K - $129K a year	Shall have a minimum of one year experience.Shall have demonstrated, detailed experience in at least two skill areas in at least two of the following…
31	Data Scientist	Reston, VA 20191 (Hattontown area)+3 locations	Bigbear.ai	Estimated $117K - $149K a year	Experience with data cleaning and ETL scripts.Experience leveraging data analysis to construct compelling narratives.Preferred TS clearance with CI Poly.
32	Lead Data Scientist	Temporarily Remote in McLean, VA	Harmonia Holdings Group, LLC	Estimated $114K - $144K a year	Should have demonstrated experience overseeing enterprise-level data analytic efforts of similar size and scope to this contract.
33	Senior Data Scientist	Herndon, VA	Wärtsilä	Estimated $136K - $172K a year	Turn data models and algorithms into software and evaluate model effectiveness by conducting tests on large sets of historical data.
34	Data Scientist - Exploration of Wearable Device Data in Pred...	Bethesda, MD	National Institute of Biomedical Imaging and...	None	Time series data analysis (experience with wearable sensor data analysis preferred).The National Institute of Biomedical Imaging and Bioengineering (NIBIB)…
