	Title	Location	Company	Salary	Synopsis
0	Senior Data Scientist at Rent-to-Own Startup	Remote in Wichita, KS 67212	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
1	Senior Data Scientist/Machine Learning Engineer	Remote in Wichita, KS 67212+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…
2	Data Plane Engineer	Remote in Wichita, KS 67212	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Who is Recruiting from Scratch:
3	NLP Engineer at Speech to Text Start Up	Remote in Wichita, KS 67212	Recruiting From Scratch	Estimated $115K - $145K a year	Who is Recruiting from Scratch:Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware…
4	Principal ML & NLP Engineer	Remote in Wichita, KS 67212	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…
5	Kubernetes and Docker Cloud Developer	Remote in Wichita, KS	Frontier Technology Inc.	Estimated $96.2K - $122K a year	Experience working with data stores/databases.Candidates must be able to work both independently and together with scientists and other software engineers in…
6	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Direct hire data scientists are hired into positions directly supporting a technical mission office.Passing this examination is a requirement in order to be…
7	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
8	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
9	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
10	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
11	Data Plane Engineer	Remote in Wichita, KS 67212	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.
12	NLP Engineer at Speech to Text Start Up	Remote in Wichita, KS 67212	Recruiting From Scratch	Estimated $115K - $145K a year	Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting…
13	Kubernetes and Docker Cloud Developer	Remote in Wichita, KS	Frontier Technology Inc.	Estimated $96.2K - $122K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
14	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
15	Senior Data Scientist at Rent-to-Own Startup	Remote in Wichita, KS 67212+5 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
16	Senior Data Scientist/Machine Learning Engineer	Remote in Wichita, KS 67212+1 location	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…
17	Machine Learning Engineer, Platform	Remote in Wichita, KS 67212	Recruiting From Scratch	$150,000 - $190,000 a year	Orchestrate large scale machine learning data pipelines (experience with Prefect, Airlflow, Luigi, or similar framework will be helpful).
