	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Remote in Charlottesville, VA 22902+2 locations	S&P Global	None	3+ years of experience in data analysis or similar role.Strong statistical knowledge and intuition, especially for applying analysis to real data.
1	9070 - Intelligence Data Scientist*	Charlottesville, VA 22911	Integral	 $101K - $128K a year	Should be skilled in data visualization and use of graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such…
2	Bioinformatics Data Scientist	Charlottesville, VA 22911	Signature Science, LLC	None	A bioinformatics data scientist is responsible for providing experimental design consulting and data analysis for large, high-throughput genomic experiments,…
3	Data Scientist - Mid	Charlottesville, VA+1 location	Celestar Corporation	 $115K - $146K a year	Demonstrates knowledge of data transfer requirements for moving data between classified and unclassified computer systems.
4	Data Scientist (Multiple Locations) - Top Secret with SCI El...	Charlottesville, VA	Logistics Management Institute	 $127K - $161K a year	Advanced data science experience required.Demonstrated proficiency with R or Python, and SQL to manipulate data and draw insights from large and small data…
5	Mid-level Data Scientist	Charlottesville, VA	Lightstorm Research	 $87.7K - $111K a year	Develop new data manipulation and visualization tools.Experience developing data visualization and exploitation tools.Expertise with Matlab and Python.
6	Senior Data Scientist	Charlottesville, VA 22911	Prescient Edge Federal	 $107K - $135K a year	Utilize skills in data visualization and graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such as R and…
7	Senior HR Workday Business/Data Analyst	Hybrid remote in Charlottesville, VA	The Rector & Visitors of the University of...	None	This position requires advanced Workday expertise and strong functional understanding of the data architecture within Workday.
8	Senior Data Scientist	Charlottesville, VA	Lightstorm Research	 $125K - $158K a year	Develop new data manipulation and visualization tools.Experience developing data visualization and exploitation tools.
9	Mid Data Scientist	Charlottesville, VA 22911+1 location	Prescient Edge Federal	 $94.1K - $119K a year	Utilize skills in data visualization and graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such as R and…
10	School of Data Science Director of Development	Hybrid remote in Ivy, VA	The Rector & Visitors of the University of...	None	SDS crosses disciplines, departments, schools and colleges to leverage UVA’s combined capabilities in data science and to create meaningful partnerships with…
11	Data Scientist - Performance Systems and Analytics	Charlottesville, VA 22903	Luna Labs USA LLC	 $83.2K - $105K a year	Understand and design the data flow.Experience analyzing data from multiple sensors and fusing together to generate system assessments.
12	Data Scientist - Defense & Intelligence	Charlottesville, VA 22903 (Downtown area)	Elder Research Inc	 $105K - $132K a year	Knowledge and experience in data wrangling, advanced statistical data analysis and modeling.3+ years of experience in a data science role.
13	Senior Data Scientist	Charlottesville, VA 22903	Luna Labs USA LLC	 $120K - $151K a year	Teach, Coach, and Mentor younger data scientists, data engineers, and software engineers.You are a second level data scientist with all the requisite skills in…
14	Data and Machine Learning Specialist	Charlottesville, VA 22910	Catalytic Data Science	 $101K - $127K a year	A self-motivated data scientist with machine learning (ML) experience.Extensive experience applying ML techniques to large scale genomics and/or high…
15	Data Scientist	Remote in Charlottesville, VA 22902+2 locations	S&P Global	None	3+ years of experience in data analysis or similar role.Strong statistical knowledge and intuition, especially for applying analysis to real data.
16	9070 - Intelligence Data Scientist*	Charlottesville, VA 22911	Integral	 $101K - $128K a year	Should be skilled in data visualization and use of graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such…
17	Bioinformatics Data Scientist	Charlottesville, VA 22911	Signature Science, LLC	None	A bioinformatics data scientist is responsible for providing experimental design consulting and data analysis for large, high-throughput genomic experiments,…
18	Data Scientist - Mid	Charlottesville, VA+1 location	Celestar Corporation	 $115K - $146K a year	Demonstrates knowledge of data transfer requirements for moving data between classified and unclassified computer systems.
19	Data Scientist (Multiple Locations) - Top Secret with SCI El...	Charlottesville, VA	Logistics Management Institute	 $127K - $161K a year	Advanced data science experience required.Demonstrated proficiency with R or Python, and SQL to manipulate data and draw insights from large and small data…
20	Mid-level Data Scientist	Charlottesville, VA	Lightstorm Research	 $87.7K - $111K a year	Develop new data manipulation and visualization tools.Experience developing data visualization and exploitation tools.Expertise with Matlab and Python.
21	Senior Data Scientist	Charlottesville, VA 22911	Prescient Edge Federal	 $107K - $135K a year	Utilize skills in data visualization and graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such as R and…
22	Senior HR Workday Business/Data Analyst	Hybrid remote in Charlottesville, VA	The Rector & Visitors of the University of...	None	This position requires advanced Workday expertise and strong functional understanding of the data architecture within Workday.
23	Senior Data Scientist	Charlottesville, VA	Lightstorm Research	 $125K - $158K a year	Develop new data manipulation and visualization tools.Experience developing data visualization and exploitation tools.
24	Mid Data Scientist	Charlottesville, VA 22911+1 location	Prescient Edge Federal	 $94.1K - $119K a year	Utilize skills in data visualization and graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such as R and…
25	School of Data Science Director of Development	Hybrid remote in Ivy, VA	The Rector & Visitors of the University of...	None	SDS crosses disciplines, departments, schools and colleges to leverage UVA’s combined capabilities in data science and to create meaningful partnerships with…
26	Data Scientist - Performance Systems and Analytics	Charlottesville, VA 22903	Luna Labs USA LLC	 $83.2K - $105K a year	Understand and design the data flow.Experience analyzing data from multiple sensors and fusing together to generate system assessments.
27	Data Scientist - Defense & Intelligence	Charlottesville, VA 22903 (Downtown area)	Elder Research Inc	 $105K - $132K a year	Knowledge and experience in data wrangling, advanced statistical data analysis and modeling.3+ years of experience in a data science role.
28	Senior Data Scientist	Charlottesville, VA 22903	Luna Labs USA LLC	 $120K - $151K a year	Teach, Coach, and Mentor younger data scientists, data engineers, and software engineers.You are a second level data scientist with all the requisite skills in…
29	Data and Machine Learning Specialist	Charlottesville, VA 22910	Catalytic Data Science	 $101K - $127K a year	A self-motivated data scientist with machine learning (ML) experience.Extensive experience applying ML techniques to large scale genomics and/or high…
30	Data Scientist	Charlottesville, VA 22902	CCRi	None	As a data scientist, your technical responsibilities will include design, research, and development.Experience with geospatial data and analytics.
31	Principal Machine Learning Engineer	Remote in Charlottesville, VA 22902	SafeGuard Cyber	 $161K - $204K a year	By securing new communication channels, our customers can focus on driving growth and revenue.We are looking for an experienced Principal Machine Learning…
32	Software Engineer Machine Learning / Signal Processing (All...	Madison, VA 22727	ARiA	 $94K - $119K a year	Using deep learning to understand the relevant physical features in acoustic scattering data for use in a project on remediating underwater sites contaminated…
33	Senior Data Scientist	Charlottesville, VA	CCRi	None	Multiple years of experience as a data scientist, machine learning engineer, or similar role.Experience with geospatial data and analytics.
34	Machine Learning Engineer	Charlottesville, VA 22902	CCRi	None	Experience with geospatial data and analytics.Curious: You enjoy peeling apart a problem and examining the interrelationships between data and how they can be…
35	Mid-level Data Scientist	Charlottesville, VA	Lightstorm Research	 $87.7K - $111K a year	Develop new data manipulation and visualization tools.Experience developing data visualization and exploitation tools.Expertise with Matlab and Python.
36	Senior Data Scientist	Charlottesville, VA 22911	Prescient Edge Federal	 $107K - $135K a year	Utilize skills in data visualization and graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such as R and…
37	Senior HR Workday Business/Data Analyst	Hybrid remote in Charlottesville, VA	The Rector & Visitors of the University of...	None	This position requires advanced Workday expertise and strong functional understanding of the data architecture within Workday.
38	Senior Data Scientist	Charlottesville, VA	Lightstorm Research	 $125K - $158K a year	Develop new data manipulation and visualization tools.Experience developing data visualization and exploitation tools.
39	Mid Data Scientist	Charlottesville, VA 22911+1 location	Prescient Edge Federal	 $94.1K - $119K a year	Utilize skills in data visualization and graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such as R and…
40	School of Data Science Director of Development	Hybrid remote in Ivy, VA	The Rector & Visitors of the University of...	None	SDS crosses disciplines, departments, schools and colleges to leverage UVA’s combined capabilities in data science and to create meaningful partnerships with…
41	Data Scientist - Performance Systems and Analytics	Charlottesville, VA 22903	Luna Labs USA LLC	 $83.2K - $105K a year	Understand and design the data flow.Experience analyzing data from multiple sensors and fusing together to generate system assessments.
