	Title	Location	Company	Salary	Synopsis
0	Junior Data Scientist	Austin, TX 78735	Kestra Financial	 $84.2K - $107K a year	Create complex data pipelines, while learning Kestra's newly developed big data ecosystem.Intermediate Python/R programming skills, data aggregations, data…
1	Data Scientist I (22-0623)	Austin, TX 78741 (Pleasant Valley area)	Office of the Attorney General of Texas	None	Develops data quality measures, analyzes data quality results, and implements necessary changes to ensure data quality improvement.Ability to travel up to 5%.
2	Data Scientist	Austin, TX 78701 (Downtown area)	Zilliant	 $110K - $140K a year	Experience implementing data science routines in Python.To do so, the scientist must be comfortable with independent interactions with clients, guiding clients…
3	Data Scientist	Hybrid remote in Austin, TX	YETI	 $103K - $131K a year	Experience with data visualization tools (e.g. Tableau, PowerBI).Collaborate with Data Engineer(s) to support data modelling and testing during projects.
4	Junior Data Scientist	Austin, TX	ANALYTOS	 $67.6K - $85.6K a year	Designs and drives the creation of new standards and best practices in the use of statistical data modeling, big data and optimization tools.
5	Data Scientist	Remote in Austin, TX 73301+1 location	S&P Global	None	3+ years of experience in data analysis or similar role.Strong statistical knowledge and intuition, especially for applying analysis to real data.
6	Data Scientist I - 637	Remote in Austin, TX	O'Neil Global Advisors, Inc.	 $85.3K - $108K a year	Advanced skill with data science topics such as machine learning, data mining, statistics, and classification.Teach and mentor junior team members.
7	Data Scientist (100% Remote)	Remote in Austin, TX 78703	Frontdoor	 $124K - $157K a year	Solid foundation in data structures and algorithms.Process massive amounts of structured and unstructured data.Run A/B test experiments and analyze results.
8	Data Scientist	Austin, TX+2 locations	sharethrough	 $104K - $132K a year	Present findings to data scientists and product managers to influence product roadmaps.Work with our data engineering team to make the data needed for your…
9	Data Scientist I (22-0623)	Austin, TX 78741 (Pleasant Valley area)	OFFICE OF THE ATTORNEY GENERAL	None	Develops data quality measures, analyzes data quality results, and implements necessary changes to ensure data quality improvement.Ability to travel up to 5%.
10	Data Scientist	Remote in Austin, TX 78731	[redacted]	 $112K - $142K a year	Knowledgeable with modern application and data structures.Work with complex data sets to solve multiple challenging problems using statistical approaches.
11	Senior Data Scientist/Machine Learning Engineer	Austin, TX	Salesforce	None	Build tools to monitor data pipeline performance, data quality and models in production.Experience working as part of a data team working with mature data…
12	Senior/Lead Data Scientist	Austin, TX	Salesforce	None	Each team is made up of data scientists, engineers, growth analysts, and information management experts who are dedicated to driving product strategy with data…
13	Data Scientist	Remote in Austin, TX 78758	Kershner Trading Group	 $114K - $144K a year	A passion for analyzing large data sets.Work with a team of Data Scientists to analyze data and create intraday algorithmic trading strategies.
14	(Junior / Senior) Machine Learning (ML) Engineer - Sports An...	Remote in Austin, TX	Zelus Analytics	None	Collaborate with data scientists to define and manage model productionalization and platform release plans.Collaborate with product and data science leads to…
